Car_Name,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Car_Age
73,3.35,5.59,27000,2,0,1,0,10
82,4.75,9.54,43000,1,0,1,0,11
24,7.25,9.85,6900,2,0,1,0,7
91,2.85,4.15,5200,2,0,1,0,13
81,4.6,6.87,42450,1,0,1,0,10
90,9.25,9.83,2071,1,0,1,0,6
24,6.75,8.12,18796,2,0,1,0,9
79,6.5,8.61,33429,1,0,1,0,9
24,8.75,8.89,20273,1,0,1,0,8
24,7.45,8.92,42367,1,0,1,0,9
3,2.85,3.6,2135,2,0,1,0,7
24,6.85,10.38,51000,1,0,1,0,9
24,7.5,9.94,15000,2,0,0,0,9
32,6.1,7.71,26000,2,0,1,0,9
29,2.25,7.21,77427,2,0,1,0,15
32,7.75,10.79,43000,1,0,1,0,8
32,7.25,10.79,41678,1,0,1,0,9
91,3.25,5.09,35500,0,0,1,0,9
82,2.65,7.98,41442,2,0,1,0,14
4,2.85,3.95,25000,2,0,1,0,8
64,4.9,5.71,2400,2,0,1,0,7
82,4.4,8.01,50000,2,0,0,0,13
4,2.5,3.46,45280,2,0,1,0,10
91,2.9,4.41,56879,2,0,1,0,11
81,3.0,4.99,20000,2,0,1,0,13
81,4.15,5.87,55138,2,0,1,0,11
81,6.0,6.49,16200,2,1,1,0,7
4,1.95,3.95,44542,2,0,1,0,14
24,7.45,10.38,45000,1,0,1,0,9
73,3.1,5.98,51439,1,0,1,0,12
73,2.35,4.89,54200,2,0,1,0,13
81,4.95,7.49,39000,1,0,1,0,10
32,6.0,9.95,45000,1,0,1,0,10
29,5.5,8.06,45000,1,0,1,0,10
82,2.95,7.74,49998,0,0,1,0,13
29,4.65,7.2,48767,2,0,1,0,9
0,0.35,2.28,127000,2,1,1,0,21
4,3.0,3.76,10079,2,0,1,0,8
82,2.25,7.98,62000,2,0,1,0,21
21,5.85,7.87,24524,2,0,0,0,8
4,2.55,3.98,46706,2,0,1,0,10
82,1.95,7.15,58000,2,0,1,0,16
29,5.5,8.06,45780,1,0,1,0,10
72,1.25,2.69,50000,2,0,1,0,12
24,7.5,12.04,15000,2,0,0,0,10
73,2.65,4.89,64532,2,0,1,0,11
91,1.05,4.15,65000,2,0,1,0,18
32,5.8,7.71,25870,2,0,1,0,9
24,7.75,9.29,37000,2,0,0,0,7
37,14.9,30.61,104707,1,0,0,0,12
37,23.0,30.61,40000,1,0,0,0,9
65,18.0,19.77,15000,1,0,0,0,7
37,16.0,30.61,135000,1,1,0,0,11
65,2.75,10.21,90000,2,1,1,0,19
27,3.6,15.04,70000,2,0,0,0,15
33,4.5,7.27,40534,2,0,1,0,9
27,4.75,18.54,50000,2,0,1,0,14
34,4.1,6.8,39485,2,0,1,1,10
37,19.99,35.96,41000,1,0,0,0,10
27,6.95,18.61,40001,2,0,1,0,11
33,4.5,7.7,40588,2,0,1,0,9
37,18.75,35.96,78000,1,0,0,0,10
37,23.5,35.96,47000,1,0,0,0,9
37,33.0,36.23,6000,1,0,0,0,7
36,4.75,6.95,45000,1,0,1,0,10
65,19.75,23.15,11000,2,0,0,0,7
37,9.25,20.45,59000,1,0,1,0,14
27,4.35,13.74,88000,2,0,1,0,13
27,14.25,20.91,12000,2,0,1,0,8
36,3.95,6.76,71000,1,0,1,0,10
27,4.5,12.48,45000,1,0,1,0,13
27,7.45,18.61,56001,2,0,1,0,11
36,2.65,5.71,43000,2,0,1,0,13
33,4.9,8.93,83000,1,0,1,0,10
34,3.95,6.8,36000,2,0,1,0,9
27,5.5,14.68,72000,2,0,1,0,11
26,1.5,12.35,135154,2,0,0,0,20
27,5.25,22.83,80000,2,0,0,0,14
37,14.5,30.61,89000,1,0,0,0,12
27,14.73,14.89,23000,1,0,1,0,8
35,4.75,7.85,40000,1,0,1,0,9
65,23.0,25.39,15000,1,0,0,0,7
65,12.5,13.46,38000,1,0,1,0,9
65,3.49,13.46,197176,1,0,1,0,19
23,2.5,23.73,142000,2,1,0,3,18
70,35.0,92.6,78000,1,0,1,0,14
27,5.9,13.74,56000,2,0,1,0,12
36,3.45,6.05,47000,2,0,1,0,11
34,4.75,6.76,40000,2,0,1,0,10
27,3.8,18.61,62000,2,0,1,0,15
65,11.25,16.09,58242,1,0,1,0,10
65,3.51,13.7,75000,2,0,1,0,19
27,4.0,22.78,89000,2,0,0,0,16
27,5.85,18.61,72000,2,0,1,0,12
65,20.75,25.39,29000,1,0,0,0,8
27,17.0,18.64,8700,2,0,1,0,7
27,7.05,18.61,45000,2,0,1,0,11
37,9.65,20.45,50024,1,0,1,0,14
78,1.75,1.9,3000,2,1,1,0,8
88,1.7,1.82,1400,2,1,1,0,7
68,1.65,1.78,4000,2,1,1,0,7
14,1.45,1.6,1200,2,1,1,0,7
75,1.35,1.47,4100,2,1,1,0,7
69,1.35,2.37,21700,2,1,1,0,9
61,1.35,3.45,16500,2,1,1,1,10
77,1.25,1.5,15000,2,1,1,0,11
77,1.2,1.5,18000,2,1,1,0,8
75,1.2,1.47,11000,2,1,1,0,7
68,1.2,1.78,6000,2,1,1,0,8
77,1.15,1.5,8700,2,1,1,0,8
67,1.15,2.4,7000,2,1,1,0,10
71,1.15,1.4,35000,2,1,1,0,8
75,1.15,1.47,17000,2,1,1,0,9
75,1.11,1.47,17500,2,1,1,0,9
75,1.1,1.47,33000,2,1,1,0,11
78,1.1,1.9,14000,2,1,1,0,9
75,1.1,1.47,26000,2,1,1,0,9
78,1.05,1.9,5400,2,1,1,0,11
20,1.05,1.26,5700,2,1,1,0,8
77,1.05,1.5,6900,2,1,1,0,13
74,1.05,1.17,6000,2,1,1,0,8
75,1.0,1.47,46500,2,1,1,0,11
76,0.95,1.75,11500,2,1,1,0,12
76,0.9,1.75,40000,2,1,1,0,15
9,0.9,0.95,1300,2,1,1,0,7
7,0.75,0.8,7000,2,1,1,0,8
53,0.8,0.87,3000,2,1,1,0,7
97,0.78,0.84,5000,2,1,1,0,7
53,0.75,0.87,11000,2,1,1,0,7
95,0.75,0.82,18000,2,1,1,0,9
9,0.75,0.95,3500,2,1,1,0,7
9,0.72,0.95,500,2,1,1,0,8
83,0.65,0.81,11800,2,1,1,0,7
17,0.65,0.74,5000,2,1,1,0,9
58,0.65,1.2,23500,2,1,1,0,10
41,0.65,0.787,16000,2,1,1,0,11
53,0.6,0.87,15000,2,1,1,0,8
10,0.6,0.95,16600,2,1,1,0,9
58,0.6,1.2,32000,2,1,1,0,11
8,0.6,0.8,20000,2,1,1,0,8
94,0.6,0.84,29000,2,1,1,0,9
94,0.6,0.84,25000,2,1,1,0,8
15,0.6,0.99,25000,2,1,1,0,10
83,0.6,0.81,19000,2,1,1,0,12
41,0.55,0.787,15000,2,1,1,0,10
97,0.55,0.84,58000,2,1,1,0,9
18,0.52,0.94,45000,2,1,1,0,14
18,0.51,0.94,24000,2,1,1,0,8
84,0.5,0.826,6000,2,1,1,0,13
47,0.5,0.55,31000,2,1,1,0,8
19,0.5,0.99,13000,2,1,1,0,12
19,0.5,0.99,45000,2,1,1,0,11
93,0.5,0.88,8000,2,1,1,0,10
52,0.48,0.51,4300,2,1,0,0,7
86,0.48,0.52,15000,2,1,1,0,7
97,0.48,0.84,23000,2,1,1,0,9
59,0.48,0.54,8600,2,1,1,0,7
52,0.45,0.51,4000,2,1,0,0,7
11,0.45,0.95,24000,2,1,1,0,13
84,0.45,0.826,23000,2,1,1,0,10
19,0.45,0.99,14500,2,1,1,0,12
10,0.45,0.95,27000,2,1,1,0,14
48,0.45,0.54,14000,2,1,1,0,8
1,0.45,0.54,500,2,1,0,0,8
46,0.45,0.55,1000,2,1,1,0,8
83,0.42,0.81,42000,2,1,1,0,10
55,0.42,0.73,12000,2,1,1,0,11
48,0.4,0.54,14000,2,1,1,0,9
96,0.4,0.83,5500,2,1,1,0,12
46,0.4,0.55,6700,2,1,1,0,9
16,0.4,0.64,13700,2,1,1,0,10
2,0.4,0.51,1300,2,1,0,0,7
57,0.38,0.72,38600,2,1,1,0,9
43,0.38,0.787,75000,2,1,1,0,13
60,0.35,1.05,30000,2,1,1,0,13
51,0.35,0.57,24000,2,1,0,0,8
85,0.35,0.52,19000,2,1,0,0,10
60,0.31,1.05,213000,2,1,1,0,14
44,0.3,0.51,60000,2,1,1,0,12
49,0.3,0.48,50000,2,1,1,0,8
54,0.3,0.58,30000,2,1,1,0,11
12,0.27,0.47,21000,2,1,1,0,11
17,0.25,0.75,26000,2,1,1,1,16
80,0.25,0.58,1900,2,1,0,0,16
87,0.25,0.52,22000,2,1,0,0,14
56,0.25,0.51,32000,2,1,1,0,11
42,0.25,0.57,18000,2,1,1,0,11
50,0.2,0.57,55000,2,1,1,0,19
17,0.2,0.75,60000,2,1,1,0,16
13,0.2,0.57,25000,2,1,1,1,12
45,0.2,0.75,49000,2,1,1,1,17
40,0.2,0.65,24000,2,1,1,1,11
39,0.2,0.787,50000,2,1,1,0,16
6,0.18,0.32,35000,2,1,1,0,9
1,0.17,0.52,500000,2,1,0,0,16
56,0.16,0.51,33000,2,1,1,0,14
13,0.15,0.57,35000,2,1,1,1,13
54,0.12,0.58,53000,2,1,1,0,17
17,0.1,0.75,92233,2,1,1,0,18
63,3.25,6.79,58000,1,0,1,1,14
38,4.4,5.7,28200,2,0,1,0,9
62,2.95,4.6,53460,2,0,1,0,13
31,2.75,4.43,28282,2,0,1,0,9
38,5.25,5.7,3493,2,0,1,1,8
92,5.75,7.13,12479,2,0,1,0,7
38,5.15,5.7,34797,2,0,0,0,9
63,7.9,8.1,3435,2,0,1,0,7
38,4.85,5.7,21125,1,0,1,0,9
62,3.1,4.6,35775,2,0,1,0,12
30,11.75,14.79,43535,1,0,1,0,9
28,11.25,13.6,22671,2,0,1,0,8
63,2.9,6.79,31604,2,0,1,0,13
38,5.25,5.7,20114,2,0,1,0,7
89,4.5,9.4,36100,2,0,1,0,12
31,2.9,4.43,12500,2,0,1,0,8
31,3.15,4.43,15000,2,0,1,0,8
89,6.45,9.4,45078,2,0,1,0,10
89,4.5,9.4,36000,2,0,1,0,12
31,3.5,4.43,38488,2,0,1,0,7
63,4.5,6.79,32000,2,0,0,0,11
63,6.0,7.6,77632,1,0,1,0,10
89,8.25,9.4,61381,1,0,1,0,9
89,5.11,9.4,36198,2,0,0,0,11
62,2.7,4.6,22517,2,0,1,0,13
38,5.25,5.7,24678,2,0,1,0,9
62,2.55,4.43,57000,2,0,1,0,13
89,4.95,9.4,60000,1,0,1,0,12
63,3.1,6.79,52132,1,0,1,0,12
89,6.15,9.4,45000,1,0,1,0,11
89,9.25,9.4,15001,2,0,1,0,7
30,11.45,14.79,12900,2,0,0,0,9
38,3.9,5.7,53000,1,0,1,0,11
38,5.5,5.7,4492,2,0,1,0,9
89,9.1,9.4,15141,2,0,1,0,7
31,3.1,4.43,11849,2,0,1,0,8
28,11.25,13.6,68000,1,0,1,0,9
89,4.8,9.4,60241,2,0,1,0,11
31,2.0,4.43,23709,2,0,1,0,12
89,5.35,9.4,32322,1,0,1,0,12
92,4.75,7.13,35866,2,0,1,1,9
92,4.4,7.13,34000,2,0,1,0,10
63,6.25,7.6,7000,2,0,1,0,8
89,5.95,9.4,49000,1,0,1,0,11
89,5.2,9.4,71000,1,0,1,0,12
63,3.75,6.79,35000,2,0,1,0,12
89,5.95,9.4,36000,2,0,1,0,9
62,4.0,4.6,30000,2,0,1,0,11
63,5.25,7.6,17000,2,0,1,0,8
28,12.9,13.6,35934,1,0,1,0,8
25,5.0,9.9,56701,2,0,1,0,11
22,5.4,6.82,31427,2,0,0,0,9
25,7.2,9.9,48000,1,0,1,0,10
25,5.25,9.9,54242,2,0,1,0,11
22,3.0,5.35,53675,2,0,1,0,12
25,10.25,13.6,49562,2,0,1,0,8
25,8.5,13.6,40324,2,0,1,0,9
25,8.4,13.6,25000,2,0,1,0,9
5,3.9,7.0,36054,2,0,1,0,10
25,9.15,13.6,29223,2,0,1,0,8
22,5.5,5.97,5600,2,0,1,0,8
5,4.0,5.8,40023,2,0,1,0,9
66,6.6,7.7,16002,2,0,1,0,8
5,4.0,7.0,40026,2,0,1,0,9
66,6.5,8.7,21200,2,0,1,0,7
5,3.65,7.0,35000,2,0,1,0,10
25,8.35,9.4,19434,1,0,1,0,8
22,4.8,5.8,19000,2,0,1,0,7
25,6.7,10.0,18828,2,0,1,0,9
25,4.1,10.0,69341,2,0,1,0,13
25,3.0,10.0,69562,2,0,1,0,15
25,7.5,10.0,27600,2,0,1,0,9
66,2.25,7.5,61203,2,0,1,0,14
22,5.3,6.8,16500,2,0,1,0,10
25,10.9,13.6,30753,2,0,0,0,8
25,8.65,13.6,24800,2,0,1,0,9
25,9.7,13.6,21780,2,0,1,0,9
66,6.0,8.4,4000,2,0,1,0,8
25,6.25,13.6,40126,2,0,1,0,10
22,5.25,5.9,14465,2,0,1,0,9
25,2.1,7.6,50456,2,0,1,0,18
25,8.25,14.0,63000,1,0,1,0,10
25,8.99,11.8,9010,2,0,1,0,8
22,3.5,5.9,9800,2,0,1,0,11
66,7.4,8.5,15059,2,0,0,0,8
66,5.65,7.9,28569,2,0,1,0,8
5,5.75,7.5,44000,2,0,0,0,9
25,8.4,13.6,34000,2,0,1,0,9
25,10.11,13.6,10980,2,0,1,0,8
5,4.5,6.4,19000,2,0,1,0,10
22,5.4,6.1,31427,2,0,1,0,9
66,6.4,8.4,12000,2,0,1,0,8
25,3.25,9.9,38000,2,0,1,0,14
5,3.75,6.8,33019,2,0,1,0,10
25,8.55,13.09,60076,1,0,1,0,9
25,9.5,11.6,33988,1,0,1,0,8
22,4.0,5.9,60000,2,0,1,0,9
25,3.35,11.0,87934,2,0,1,0,15
25,11.5,12.5,9000,1,0,1,0,7
22,5.3,5.9,5464,2,0,1,0,8
